"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Contract Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Facility Street Address","Facility Zip Code","Facility Congressional District","Facility NAICS Code","PPP Lender","Jobs Reported at Time of Application","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Median Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis","Employment Issues","Tax/Subsidy Issues","Government Contracting Issues","Environment/Safety Issues","Consumer Protection Issues","CEO Compensation Issues","POGO Link","Just Capital Link","Follow The Money Link","Violation Tracker Link","Subsidy Tracker Link"
"BLUE DIAMOND MINING, LLC","Blackhawk Mining","20200410","loan","$0","$5,304,800","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Kentucky","LEXINGTON","3228 SUMMIT SQUARE PL","40509","KY-06","212111","Peoples Bank","289","","privately held","","Kentucky","USA","mining and minerals","coal mining","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BLUE MOUNTAIN ENERGY, INC.","Deseret Generation & Transmission Cooperative","20200415","loan","$0","$3,386,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Utah","SOUTH JORDAN","10714 South Jordan Gateway","84095","UT-04","212111","Zions Bank, A Division of","179","","cooperative","","Utah","USA","utilities and power generation","power systems","0","0","$0","","$0","$0","$720,741","$0","","$0","$0","$0","no","no","no","no","no","no","","","","deseret-generation-and-transmission-co","deseret-generation-and-transmission-co"
"BMB DINING SERVICES (249), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$439,295","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","71","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (290), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$378,033","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","90","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (59), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$466,524","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","155","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (AUSTIN), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$271,056","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","71","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (FUQUA), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$340,694","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","80","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (I-10 EAST), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$459,790","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","90","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (KATY), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$579,202","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","130","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (PEARLAND), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$400,629","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","85","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (SPRING), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$402,676","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","87","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
"BMB DINING SERVICES (STEMMONS), INC","RCI Hospitality Holdings, Inc.","20200428","loan","$0","$420,896","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","10737 CUTTEN ROAD","77066","TX-02","722410","Centennial Bank","93","","publicly traded","RICK","Texas","USA","entertainment","nightclubs","2,200","0","$0","","$0","$0","$0","$0","64 to 1","$1,126,575","$17,617","$0","no","no","no","no","no","no","","","","",""
