DATE,LNU04000009
2018-01-01,5.8
2018-02-01,5.3
2018-03-01,5.2
2018-04-01,4.3
2018-05-01,4.4
2018-06-01,4.6
2018-07-01,4.6
2018-08-01,4.7
2018-09-01,4.3
2018-10-01,4.1
2018-11-01,4.4
2018-12-01,4.3
2019-01-01,5.6
2019-02-01,4.8
2019-03-01,4.9
2019-04-01,3.7
2019-05-01,3.7
2019-06-01,4.4
2019-07-01,4.7
2019-08-01,4.2
2019-09-01,3.6
2019-10-01,3.8
2019-11-01,4.1
2019-12-01,4.1
2020-01-01,5.1
2020-02-01,4.8
2020-03-01,6.3
2020-04-01,18.5
2020-05-01,17.2
2020-06-01,14.5
2020-07-01,13.0
2020-08-01,10.5
2020-09-01,10.0
2020-10-01,8.5
2020-11-01,8.3
2020-12-01,9.2
2021-01-01,9.4
2021-02-01,9.0
2021-03-01,8.2
2021-04-01,7.5
2021-05-01,6.8
2021-06-01,7.3
2021-07-01,6.6
2021-08-01,6.2
2021-09-01,6.0
