DATE,Construction,Education and health services,Financial activities,Information,Leisure and hospitality,Manufacturing,Mining and logging,Other service,Professional and business services,"Trade, transportation and utilities"
1/1/18,7107,23436,8506,2814,16188,12559,699,5810,20743,27445
2/1/18,7194,23489,8531,2814,16213,12589,706,5814,20779,27523
3/1/18,7203,23520,8538,2825,16215,12610,714,5812,20822,27582
4/1/18,7224,23537,8544,2838,16217,12636,721,5819,20867,27574
5/1/18,7263,23574,8568,2837,16262,12657,724,5831,20911,27608
6/1/18,7279,23614,8586,2837,16308,12686,730,5844,20946,27594
7/1/18,7303,23641,8595,2842,16344,12707,730,5831,20966,27607
8/1/18,7332,23695,8607,2843,16348,12719,737,5834,21005,27654
9/1/18,7355,23722,8629,2839,16329,12740,739,5838,21041,27638
10/1/18,7379,23769,8645,2852,16363,12764,742,5846,21078,27644
11/1/18,7386,23781,8657,2853,16371,12779,736,5842,21099,27687
12/1/18,7416,23855,8667,2857,16418,12802,742,5849,21128,27658
1/1/19,7446,23899,8679,2840,16496,12828,746,5852,21134,27708
2/1/19,7415,23914,8688,2838,16466,12830,741,5853,21165,27688
3/1/19,7439,23978,8707,2849,16488,12826,740,5868,21173,27671
4/1/19,7471,24041,8722,2845,16507,12825,737,5884,21212,27675
5/1/19,7478,24074,8730,2854,16514,12817,738,5878,21230,27676
6/1/19,7499,24119,8738,2868,16524,12822,734,5894,21261,27699
7/1/19,7503,24184,8762,2868,16535,12820,727,5904,21291,27712
8/1/19,7506,24246,8779,2870,16580,12820,719,5909,21320,27696
9/1/19,7524,24305,8784,2874,16648,12814,718,5904,21340,27728
10/1/19,7544,24340,8805,2876,16727,12769,719,5903,21374,27775
11/1/19,7546,24406,8824,2886,16769,12818,707,5916,21405,27765
12/1/19,7557,24433,8832,2897,16811,12809,694,5919,21410,27828
1/1/20,7615,24513,8849,2910,16858,12792,689,5930,21437,27852
2/1/20,7648,24565,8875,2914,16915,12799,690,5937,21469,27876
3/1/20,7557,24347,8850,2898,16133,12718,674,5842,21318,27729
4/1/20,6535,21722,8596,2633,8691,11414,622,4527,19082,24513
5/1/20,7004,22107,8613,2594,10146,11657,601,4777,19247,24934
6/1/20,7171,22671,8634,2602,12158,11999,597,5153,19568,25934
7/1/20,7197,22885,8646,2592,12824,12037,593,5316,19715,26205
8/1/20,7223,23084,8674,2617,12963,12068,589,5390,19915,26553
9/1/20,7256,23152,8712,2659,13357,12123,592,5440,20055,26662
10/1/20,7329,23235,8746,2650,13622,12155,594,5488,20296,26847
11/1/20,7353,23278,8756,2650,13632,12196,597,5485,20391,26983
12/1/20,7400,23249,8774,2659,13134,12231,597,5469,20550,26984
1/1/21,7412,23235,8781,2672,13117,12213,596,5480,20640,27023
2/1/21,7355,23292,8774,2678,13530,12248,598,5502,20733,27081
3/1/21,7448,23396,8787,2683,13757,12299,613,5539,20807,27186
4/1/21,7439,23419,8804,2694,14085,12264,616,5576,20728,27116
5/1/21,7415,23465,8806,2714,14404,12300,620,5589,20778,27205
6/1/21,7413,23537,8806,2726,14801,12332,632,5665,20848,27344
7/1/21,7425,23621,8837,2745,15209,12389,637,5709,20939,27409
8/1/21,7425,23672,8848,2774,15247,12420,643,5743,21024,27456
9/1/21,7447,23665,8850,2806,15321,12446,647,5727,21084,27576
