Reflect_Week,State,UCFE,UCX,EUC_1990,TEUC,EUC_08_Tier_I,EUC_08_Tier_II,EUC_08_Tier_III,EUC_08_Tier_IV,EUC08_Total,EB,State_AB,STC,PUA,PEUC,Total,Unemployment_Rate
01/04/86,54120.00 ,1743.00 ,471.00 ,,,,,,,,11.00 ,0.00 ,0.00 ,,,56345.00 ,
01/11/86,62228.00 ,1655.00 ,569.00 ,,,,,,,,17.00 ,0.00 ,0.00 ,,,64469.00 ,
01/18/86,104031.00 ,2563.00 ,862.00 ,,,,,,,,34.00 ,0.00 ,0.00 ,,,107490.00 ,
01/25/86,259767.00 ,3252.00 ,2370.00 ,,,,,,,,61.00 ,18.00 ,35.00 ,,,265503.00 ,
02/01/86,870251.00 ,8610.00 ,5945.00 ,,,,,,,,96.00 ,26.00 ,7488.00 ,,,892416.00 ,
02/08/86,2927492.00 ,23239.00 ,19972.00 ,,,,,,,,3882.00 ,6983.00 ,9092.00 ,,,2990660.00 ,
02/15/86,3148327.00 ,26518.00 ,20596.00 ,,,,,,,,14054.00 ,6801.00 ,10763.00 ,,,3227059.00 ,
02/22/86,3286891.00 ,25380.00 ,21797.00 ,,,,,,,,21605.00 ,7722.00 ,14949.00 ,,,3378344.00 ,
03/01/86,3188289.00 ,27617.00 ,20629.00 ,,,,,,,,15231.00 ,8173.00 ,10836.00 ,,,3270775.00 ,
03/08/86,3136770.00 ,24534.00 ,20450.00 ,,,,,,,,15163.00 ,7408.00 ,12185.00 ,,,3216510.00 ,
03/15/86,3100411.00 ,25814.00 ,20528.00 ,,,,,,,,14210.00 ,7016.00 ,10475.00 ,,,3178454.00 ,
03/22/86,2995724.00 ,23547.00 ,19864.00 ,,,,,,,,16839.00 ,5770.00 ,9106.00 ,,,3070850.00 ,
03/29/86,2843617.00 ,24509.00 ,18746.00 ,,,,,,,,15587.00 ,5968.00 ,7372.00 ,,,2915799.00 ,
04/05/86,3351820.00 ,22072.00 ,19067.00 ,,,,,,,,19150.00 ,5218.00 ,8531.00 ,,,3425858.00 ,
04/12/86,2777277.00 ,23865.00 ,19423.00 ,,,,,,,,14718.00 ,5163.00 ,9517.00 ,,,2849963.00 ,
04/19/86,2688508.00 ,21239.00 ,18519.00 ,,,,,,,,17671.00 ,5481.00 ,8803.00 ,,,2760221.00 ,
04/26/86,2517469.00 ,20485.00 ,17263.00 ,,,,,,,,15449.00 ,5116.00 ,9520.00 ,,,2585302.00 ,
05/03/86,2423085.00 ,19225.00 ,16897.00 ,,,,,,,,16825.00 ,5199.00 ,9218.00 ,,,2490449.00 ,
