"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Contract Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Facility Street Address","Facility Zip Code","Facility Congressional District","Facility NAICS Code","PPP Lender","Jobs Reported at Time of Application","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Median Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis","Employment Issues","Tax/Subsidy Issues","Government Contracting Issues","Environment/Safety Issues","Consumer Protection Issues","CEO Compensation Issues","POGO Link","Just Capital Link","Follow The Money Link","Violation Tracker Link","Subsidy Tracker Link"
"Abraham Lincoln Capital","Springfield Airport Authority","20200414","grant","$4,661,086","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","Illinois","Springfield","","","","","","0","","government-owned","","Illinois","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Bob Hope","Burbank-Glendale-Pasadena Airport Authority","20200414","grant","$21,081,611","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","California","Burbank","","","","","","0","","government-owned","","California","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Pitt-Greenville","Pitt-Greenville Airport Authority","20200414","grant","$18,067,663","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","North Carolina","Greenville","","","","","","0","","government-owned","","North Carolina","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Seminole State College Of Florida","Florida College System","20200409","grant","$4,075,029","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Florida","","","","","","","0","","non-profit","","Florida","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Seton Hall University","Seton Hall University","20200409","grant","$2,874,959","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","New Jersey","","","","","","","0","","non-profit","","New Jersey","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Seton Hill University","Seton Hill University","20200409","grant","$633,422","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Pennsylvania","","","","","","","0","","non-profit","","Pennsylvania","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Shasta College","California Community Colleges","20200409","grant","$1,836,637","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","California","","","","","","","0","","non-profit","","California","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Shawnee State University","University System of Ohio","20200409","grant","$1,786,454","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Ohio","","","","","","","0","","non-profit","","Ohio","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Shelton State Community College","Alabama Community College System","20200409","grant","$1,482,719","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Alabama","","","","","","","0","","non-profit","","Alabama","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Shippensburg University Of Pennsylvania","Pennsylvania State System of Higher Education","20200409","grant","$2,718,100","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Pennsylvania","","","","","","","0","","non-profit","","Pennsylvania","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Sierra College","California Community Colleges","20200409","grant","$3,797,790","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","California","","","","","","","0","","non-profit","","California","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Sinclair Community College","University System of Ohio","20200409","grant","$3,717,102","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Ohio","","","","","","","0","","non-profit","","Ohio","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Skyline College","California Community Colleges","20200409","grant","$1,245,789","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","California","","","","","","","0","","non-profit","","California","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Pullman/Moscow Regional","Pullman-Moscow Regional Airport Board","20200414","grant","$18,129,792","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","Washington","Pullman","","","","","","0","","government-owned","","Washington","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
